"rent_date","rent_place","using_time","dist","bill_type"
"2019-01-01 00:16:10","ST-805",6,1180,"BIL_015"
"2019-01-01 00:28:27","ST-1611",11,2080,"BIL_006"
"2019-01-01 00:28:47","ST-1432",19,3450,"BIL_008"
"2019-01-01 00:55:33","ST-1381",5,1480,"BIL_005"
"2019-01-01 01:14:09","ST-1264",4,960,"BIL_015"
"2019-01-01 01:12:52","ST-12",10,2240,"BIL_002"
"2019-01-01 01:13:27","ST-1020",13,2110,"BIL_006"
"2019-01-01 01:28:53","ST-12",13,2500,"BIL_006"
"2019-01-01 01:30:13","ST-1150",23,4370,"BIL_006"
"2019-01-01 01:56:52","ST-494",3,660,"BIL_005"
"2019-01-01 02:30:56","ST-805",15,3920,"BIL_004"
"2019-01-01 02:08:49","ST-10",40,6740,"BIL_002"
"2019-01-01 03:05:58","ST-758",7,1360,"BIL_017"
"2019-01-01 03:23:11","ST-1269",5,540,"BIL_005"
"2019-01-01 03:44:01","ST-1037",7,1240,"BIL_004"
"2019-01-01 04:35:49","ST-611",7,950,"BIL_004"
"2019-01-01 05:10:41","ST-445",18,2350,"BIL_008"
"2019-01-01 06:48:10","ST-953",5,1110,"BIL_015"
"2019-01-01 07:08:24","ST-97",8,2040,"BIL_014"
"2019-01-01 07:26:02","ST-1692",10,1950,"BIL_006"
"2019-01-01 08:41:44","ST-214",4,1220,"BIL_004"
"2019-01-01 09:07:30","ST-1609",6,1510,"BIL_005"
"2019-01-01 09:06:54","ST-305",7,2000,"BIL_014"
"2019-01-01 09:16:47","ST-1582",11,1290,"BIL_002"
"2019-01-01 10:02:59","ST-92",3,680,"BIL_005"
"2019-01-01 09:49:49","ST-14",28,5990,"BIL_015"
"2019-01-01 10:24:40","ST-1229",5,1070,"BIL_014"
"2019-01-01 10:49:17","ST-1651",41,4550,"BIL_002"
"2019-01-01 10:02:15","ST-1577",97,3010,"BIL_014"
"2019-01-01 11:08:07","ST-735",34,6280,"BIL_004"
"2019-01-01 11:48:01","ST-719",20,3530,"BIL_014"
"2019-01-01 12:23:40","ST-1712",37,3110,"BIL_012"
"2019-01-01 13:02:48","ST-829",5,850,"BIL_004"
"2019-01-01 13:09:04","ST-1198",3,630,"BIL_004"
"2019-01-01 13:28:41","ST-1078",17,3170,"BIL_004"
"2019-01-01 13:36:50","ST-391",18,2710,"BIL_004"
"2019-01-01 13:52:03","ST-289",4,600,"BIL_014"
"2019-01-01 14:04:21","ST-89",6,1510,"BIL_006"
"2019-01-01 14:16:32","ST-771",7,1930,"BIL_004"
"2019-01-01 12:44:58","ST-73",100,6640,"BIL_016"
"2019-01-01 14:24:40","ST-348",7,1040,"BIL_002"
"2019-01-01 14:26:10","ST-1663",7,1590,"BIL_004"
"2019-01-01 14:24:13","ST-553",15,2270,"BIL_006"
"2019-01-01 13:35:03","ST-805",66,4050,"BIL_014"
"2019-01-01 12:55:38","ST-154",107,2660,"BIL_014"
"2019-01-01 14:47:13","ST-1069",9,1450,"BIL_004"
"2019-01-01 13:53:26","ST-56",76,16180,"BIL_014"
"2019-01-01 15:05:00","ST-1354",8,2160,"BIL_014"
"2019-01-01 15:07:52","ST-914",10,1500,"BIL_005"
"2019-01-01 14:17:16","ST-1095",67,2650,"BIL_014"
"2019-01-01 15:32:50","ST-561",13,2140,"BIL_015"
"2019-01-01 15:44:02","ST-127",2,610,"BIL_005"
"2019-01-01 15:49:05","ST-1376",5,1080,"BIL_004"
"2019-01-01 15:10:26","ST-609",74,15120,"BIL_014"
"2019-01-01 16:36:07","ST-334",3,600,"BIL_006"
"2019-01-01 16:30:22","ST-37",12,2580,"BIL_015"
"2019-01-01 16:29:53","ST-253",19,2740,"BIL_015"
"2019-01-01 16:43:38","ST-437",9,1340,"BIL_004"
"2019-01-01 16:46:36","ST-857",9,1510,"BIL_015"
"2019-01-01 16:58:32","ST-1021",2,860,"BIL_015"
"2019-01-01 17:01:40","ST-1307",4,920,"BIL_004"
"2019-01-01 16:46:46","ST-288",29,2730,"BIL_004"
