"index","gender","car","reality","child_num","income_total","income_type","edu_type","family_type","house_type","DAYS_BIRTH","DAYS_EMPLOYED","FLAG_MOBIL","work_phone","phone","email","occyp_type","family_size","begin_month","credit"
0,"F","N","N",0,202500,"Commercial associate","Higher education","Married","Municipal apartment",-13899,-4709,1,0,0,0,"",2,-6,"good"
1,"F","N","Y",1,247500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-11380,-1540,1,0,0,1,"Laborers",3,-5,"good"
2,"M","Y","Y",0,450000,"Working","Higher education","Married","House / apartment",-19087,-4434,1,0,1,0,"Managers",2,-22,"bad"
3,"F","N","Y",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15088,-2092,1,0,1,0,"Sales staff",2,-37,"good"
4,"F","Y","Y",0,157500,"State servant","Higher education","Married","House / apartment",-15037,-2105,1,0,0,0,"Managers",2,-26,"bad"
5,"F","N","Y",2,270000,"Working","Secondary / secondary special","Married","House / apartment",-13413,-4996,1,0,0,1,"High skill tech staff",4,-18,"good"
6,"F","N","N",0,315000,"Working","Secondary / secondary special","Separated","House / apartment",-17570,-1978,1,0,0,1,"Core staff",1,-41,"bad"
7,"M","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14896,-5420,1,0,0,1,"Drivers",2,-53,"good"
8,"M","Y","Y",1,180000,"Commercial associate","Higher education","Married","House / apartment",-15131,-1466,1,0,0,1,"",3,-38,"bad"
9,"F","N","Y",0,103500,"Working","Secondary / secondary special","Married","House / apartment",-15785,-1308,1,0,0,0,"Medicine staff",2,-5,"bad"
10,"F","N","Y",0,193500,"Working","Secondary / secondary special","Separated","House / apartment",-19063,-2213,1,1,1,1,"Laborers",1,-40,"bad"
11,"M","Y","Y",1,135000,"Commercial associate","Higher education","Married","House / apartment",-11759,-91,1,0,0,0,"Managers",3,-51,"bad"
12,"F","Y","Y",1,157500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-11938,-2162,1,0,0,0,"Accountants",3,-60,"good"
13,"F","N","N",0,135000,"Working","Higher education","Married","House / apartment",-9887,-2474,1,0,1,0,"Sales staff",2,-41,"bad"
14,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-22922,365243,1,0,1,0,"",1,-41,"bad"
15,"M","Y","Y",2,157500,"Working","Secondary / secondary special","Married","With parents",-12859,-4056,1,0,1,0,"Drivers",4,-60,"good"
16,"M","N","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-19408,-4553,1,0,1,0,"Laborers",2,-2,"good"
17,"M","N","N",0,270000,"Commercial associate","Secondary / secondary special","Civil marriage","With parents",-8853,-984,1,0,0,1,"Sales staff",2,-14,"bad"
18,"F","N","Y",0,216000,"Pensioner","Secondary / secondary special","Married","House / apartment",-23113,365243,1,0,0,0,"",2,-37,"bad"
19,"F","N","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-13727,-6031,1,0,0,0,"",2,-7,"bad"
20,"M","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-19850,-1753,1,0,1,0,"",2,-35,"bad"
21,"F","N","N",0,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21253,365243,1,0,1,0,"",2,-7,"bad"
22,"F","N","N",0,157500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-15198,-1357,1,0,0,0,"Laborers",2,-22,"good"
23,"M","Y","N",0,225000,"Working","Secondary / secondary special","Married","Municipal apartment",-14542,-444,1,1,1,1,"",2,-18,"bad"
24,"F","N","N",0,202500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-22361,365243,1,0,1,0,"",1,-5,"bad"
25,"F","N","Y",1,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14058,-3694,1,0,0,0,"Realty agents",3,-4,"bad"
26,"M","Y","N",1,135000,"Working","Higher education","Married","House / apartment",-17843,-3353,1,1,0,0,"Laborers",3,-13,"bad"
27,"M","Y","Y",0,405000,"State servant","Secondary / secondary special","Married","House / apartment",-17309,-3500,1,0,0,0,"",2,-57,"bad"
28,"M","Y","N",0,112500,"Commercial associate","Secondary / secondary special","Married","With parents",-22111,-2325,1,1,1,0,"Drivers",2,-47,"bad"
29,"F","N","Y",0,121500,"Commercial associate","Secondary / secondary special","Married","Co-op apartment",-12017,-1711,1,0,1,0,"Sales staff",2,-22,"good"
30,"M","Y","N",0,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13188,-227,1,0,0,0,"Managers",2,-33,"bad"
31,"M","Y","Y",0,135000,"Commercial associate","Higher education","Married","House / apartment",-11762,-3452,1,1,0,1,"Laborers",2,-18,"good"
