"X","user_seq","rent_date","rent_place","bike_id","return_place","return_date","using_time","dist","user_age","user_type","bill_type","rent_hour","rent_days","rent_wdays","return_hour","return_day","return_wdays","month","region"
53,18230452,"2019-01-01 00:16:10","ST-805","19B00900004C5A","ST-807","2019-01-01 00:23:02",6,1180,"AGE_004","USR_001","BIL_015",0,1,3,0,1,3,1,"강남구"
166,18230590,"2019-01-01 00:28:27","ST-1611","19B009000048A6","ST-215","2019-01-01 00:40:42",11,2080,"AGE_005","USR_001","BIL_006",0,1,3,0,1,3,1,"종로구"
217,18230653,"2019-01-01 00:28:47","ST-1432","19B008000020CB","ST-271","2019-01-01 00:48:53",19,3450,"AGE_003","USR_001","BIL_008",0,1,3,0,1,3,1,"종로구"
316,18230775,"2019-01-01 00:55:33","ST-1381","19B009000045ED","ST-849","2019-01-01 01:01:48",5,1480,"AGE_003","USR_001","BIL_005",0,1,3,1,1,3,1,"중랑구"
452,18230927,"2019-01-01 01:14:09","ST-1264","19B00800003C41","ST-1259","2019-01-01 01:19:28",4,960,"AGE_003","USR_001","BIL_015",1,1,3,1,1,3,1,"관악구"
494,18230976,"2019-01-01 01:12:52","ST-12","19B0080000196C","ST-22","2019-01-01 01:23:45",10,2240,"AGE_002","USR_001","BIL_002",1,1,3,1,1,3,1,"서대문구"
519,18231004,"2019-01-01 01:13:27","ST-1020","19B0070000120A","ST-480","2019-01-01 01:27:21",13,2110,"AGE_003","USR_001","BIL_006",1,1,3,1,1,3,1,"은평구"
670,18231176,"2019-01-01 01:28:53","ST-12","19B0070000111C","ST-1189","2019-01-01 01:42:28",13,2500,"AGE_002","USR_001","BIL_006",1,1,3,1,1,3,1,"서대문구"
765,18231279,"2019-01-01 01:30:13","ST-1150","19B00800004445","ST-1343","2019-01-01 01:54:22",23,4370,"AGE_002","USR_001","BIL_006",1,1,3,1,1,3,1,"동작구"
825,18231348,"2019-01-01 01:56:52","ST-494","19B00700000D1F","ST-1370","2019-01-01 02:00:41",3,660,"AGE_002","USR_001","BIL_005",1,1,3,2,1,3,1,"강동구"
1241,18231817,"2019-01-01 02:30:56","ST-805","19B0070000107B","ST-1590","2019-01-01 02:46:41",15,3920,"AGE_003","USR_001","BIL_004",2,1,3,2,1,3,1,"강남구"
1264,18231843,"2019-01-01 02:08:49","ST-10","19B00800003A5A","ST-110","2019-01-01 02:49:50",40,6740,"AGE_002","USR_001","BIL_002",2,1,3,2,1,3,1,"마포구"
1394,18231983,"2019-01-01 03:05:58","ST-758","19B00800002E74","ST-751","2019-01-01 03:13:58",7,1360,"AGE_008","USR_003","BIL_017",3,1,3,3,1,3,1,"서초구"
1481,18232075,"2019-01-01 03:23:11","ST-1269","19B00900004DC4","ST-976","2019-01-01 03:29:13",5,540,"AGE_004","USR_001","BIL_005",3,1,3,3,1,3,1,"관악구"
1585,18232193,"2019-01-01 03:44:01","ST-1037","19B0080000385D","ST-481","2019-01-01 03:52:04",7,1240,"AGE_006","USR_001","BIL_004",3,1,3,3,1,3,1,"은평구"
1767,18232410,"2019-01-01 04:35:49","ST-611","19B00800002D36","ST-610","2019-01-01 04:43:53",7,950,"AGE_002","USR_001","BIL_004",4,1,3,4,1,3,1,"노원구"
1896,18232551,"2019-01-01 05:10:41","ST-445","19B00800003E37","ST-1664","2019-01-01 05:29:41",18,2350,"AGE_002","USR_001","BIL_008",5,1,3,5,1,3,1,"광진구"
2077,18232753,"2019-01-01 06:48:10","ST-953","19B00800001E6E","ST-801","2019-01-01 06:53:36",5,1110,"AGE_005","USR_001","BIL_015",6,1,3,6,1,3,1,"강남구"
2140,18232825,"2019-01-01 07:08:24","ST-97","19B008000027CC","ST-1662","2019-01-01 07:17:45",8,2040,"AGE_002","USR_001","BIL_014",7,1,3,7,1,3,1,"광진구"
2180,18232872,"2019-01-01 07:26:02","ST-1692","19B00900004CB3","ST-92","2019-01-01 07:37:19",10,1950,"AGE_002","USR_001","BIL_006",7,1,3,7,1,3,1,"마포구"
2425,18233143,"2019-01-01 08:41:44","ST-214","19B00700001764","ST-201","2019-01-01 08:46:51",4,1220,"AGE_002","USR_001","BIL_004",8,1,3,8,1,3,1,"마포구"
2541,18233271,"2019-01-01 09:07:30","ST-1609","19B00800002142","ST-162","2019-01-01 09:14:06",6,1510,"AGE_003","USR_001","BIL_005",9,1,3,9,1,3,1,"종로구"
2544,18233274,"2019-01-01 09:06:54","ST-305","19B00800003B02","ST-303","2019-01-01 09:14:41",7,2000,"AGE_002","USR_001","BIL_014",9,1,3,9,1,3,1,"영등포구"
2599,18233333,"2019-01-01 09:16:47","ST-1582","19B00800004070","ST-1584","2019-01-01 09:28:43",11,1290,"AGE_004","USR_001","BIL_002",9,1,3,9,1,3,1,"송파구"
2746,18233492,"2019-01-01 10:02:59","ST-92","19B00700001713","ST-968","2019-01-01 10:06:27",3,680,"AGE_004","USR_001","BIL_005",10,1,3,10,1,3,1,"마포구"
2784,18233535,"2019-01-01 09:49:49","ST-14","19B00800001F67","ST-25","2019-01-01 10:19:37",28,5990,"AGE_004","USR_001","BIL_015",9,1,3,10,1,3,1,"서대문구"
2831,18233586,"2019-01-01 10:24:40","ST-1229","19B008000032F8","ST-1526","2019-01-01 10:30:15",5,1070,"AGE_002","USR_001","BIL_014",10,1,3,10,1,3,1,"구로구"
3059,18233838,"2019-01-01 10:49:17","ST-1651","19B00900004677","ST-688","2019-01-01 11:30:44",41,4550,"AGE_004","USR_001","BIL_002",10,1,3,11,1,3,1,"영등포구"
3099,18233884,"2019-01-01 10:02:15","ST-1577","19B00700000FE8","ST-815","2019-01-01 11:40:15",97,3010,"AGE_003","USR_001","BIL_014",10,1,3,11,1,3,1,"강남구"
3126,18233913,"2019-01-01 11:08:07","ST-735","19B00900004CDD","ST-735","2019-01-01 11:44:17",34,6280,"AGE_002","USR_001","BIL_004",11,1,3,11,1,3,1,"노원구"
3277,18234081,"2019-01-01 11:48:01","ST-719","19B007000013D2","ST-1268","2019-01-01 12:09:22",20,3530,"AGE_003","USR_001","BIL_014",11,1,3,12,1,3,1,"관악구"
3607,18234434,"2019-01-01 12:23:40","ST-1712","19B00800001872","ST-1510","2019-01-01 13:01:17",37,3110,"AGE_004","USR_001","BIL_012",12,1,3,13,1,3,1,"강서구"
3665,18234495,"2019-01-01 13:02:48","ST-829","19B00900004AD4","ST-527","2019-01-01 13:08:38",5,850,"AGE_004","USR_001","BIL_004",13,1,3,13,1,3,1,"강서구"
3692,18234523,"2019-01-01 13:09:04","ST-1198","19B009000048F3","ST-369","2019-01-01 13:12:56",3,630,"AGE_003","USR_001","BIL_004",13,1,3,13,1,3,1,"성동구"
