"VID","date","year","month","day","power"
7855756,2015-01-01 00:00:00,2015,1,1,0.03
7855756,2015-01-01 00:15:00,2015,1,1,0.68
7855756,2015-01-01 00:30:00,2015,1,1,0.57
7855756,2015-01-01 00:45:00,2015,1,1,0.03
7855756,2015-01-01 01:00:00,2015,1,1,1.16
7855756,2015-01-01 01:15:00,2015,1,1,0.88
7855756,2015-01-01 01:30:00,2015,1,1,0.03
7855756,2015-01-01 01:45:00,2015,1,1,0.42
7855756,2015-01-01 02:00:00,2015,1,1,0.03
7855756,2015-01-01 02:15:00,2015,1,1,0.93
7855756,2015-01-01 02:30:00,2015,1,1,1.39
7855756,2015-01-01 02:45:00,2015,1,1,1.31
7855756,2015-01-01 03:00:00,2015,1,1,0.29
7855756,2015-01-01 03:15:00,2015,1,1,0.3
7855756,2015-01-01 03:30:00,2015,1,1,1.07
7855756,2015-01-01 03:45:00,2015,1,1,0.04
7855756,2015-01-01 04:00:00,2015,1,1,0.29
7855756,2015-01-01 04:15:00,2015,1,1,0.23
7855756,2015-01-01 04:30:00,2015,1,1,0.43
7855756,2015-01-01 04:45:00,2015,1,1,1.38
7855756,2015-01-01 05:00:00,2015,1,1,1.13
7855756,2015-01-01 05:15:00,2015,1,1,0.06
7855756,2015-01-01 05:30:00,2015,1,1,0.35
7855756,2015-01-01 05:45:00,2015,1,1,0.13
7855756,2015-01-01 06:00:00,2015,1,1,0.65
7855756,2015-01-01 06:15:00,2015,1,1,0.3
7855756,2015-01-01 06:30:00,2015,1,1,0.03
7855756,2015-01-01 06:45:00,2015,1,1,0.04
7855756,2015-01-01 07:00:00,2015,1,1,0.03
7855756,2015-01-01 07:15:00,2015,1,1,1.58
7855756,2015-01-01 07:30:00,2015,1,1,2.75
7855756,2015-01-01 07:45:00,2015,1,1,1.46
7855756,2015-01-01 08:00:00,2015,1,1,0.27
7855756,2015-01-01 08:15:00,2015,1,1,0.38
7855756,2015-01-01 08:30:00,2015,1,1,1.39
7855756,2015-01-01 08:45:00,2015,1,1,1.14
7855756,2015-01-01 09:00:00,2015,1,1,0.11
7855756,2015-01-01 09:15:00,2015,1,1,0.66
7855756,2015-01-01 09:30:00,2015,1,1,1.39
7855756,2015-01-01 09:45:00,2015,1,1,1.39
7855756,2015-01-01 10:00:00,2015,1,1,0.91
7855756,2015-01-01 10:15:00,2015,1,1,0.04
7855756,2015-01-01 10:30:00,2015,1,1,1
7855756,2015-01-01 10:45:00,2015,1,1,1.39
7855756,2015-01-01 11:00:00,2015,1,1,0.61
7855756,2015-01-01 11:15:00,2015,1,1,0.04
7855756,2015-01-01 11:30:00,2015,1,1,0.03
7855756,2015-01-01 11:45:00,2015,1,1,0.03
7855756,2015-01-01 12:00:00,2015,1,1,0.47
7855756,2015-01-01 12:15:00,2015,1,1,2.68
7855756,2015-01-01 12:30:00,2015,1,1,2.24
7855756,2015-01-01 12:45:00,2015,1,1,1.23
7855756,2015-01-01 13:00:00,2015,1,1,0.14
7855756,2015-01-01 13:15:00,2015,1,1,0.57
7855756,2015-01-01 13:30:00,2015,1,1,1.24
7855756,2015-01-01 13:45:00,2015,1,1,0.39
7855756,2015-01-01 14:00:00,2015,1,1,0.14
7855756,2015-01-01 14:15:00,2015,1,1,1.33
7855756,2015-01-01 14:30:00,2015,1,1,0.71
7855756,2015-01-01 14:45:00,2015,1,1,0.03
7855756,2015-01-01 15:00:00,2015,1,1,1.06
7855756,2015-01-01 15:15:00,2015,1,1,1.16
7855756,2015-01-01 15:30:00,2015,1,1,1.4
7855756,2015-01-01 15:45:00,2015,1,1,1.44
7855756,2015-01-01 16:00:00,2015,1,1,0.77
7855756,2015-01-01 16:15:00,2015,1,1,0.03
7855756,2015-01-01 16:30:00,2015,1,1,0.41
7855756,2015-01-01 16:45:00,2015,1,1,0.03
7855756,2015-01-01 17:00:00,2015,1,1,1.24
7855756,2015-01-01 17:15:00,2015,1,1,0.1
7855756,2015-01-01 17:30:00,2015,1,1,0.03
7855756,2015-01-01 17:45:00,2015,1,1,0.04
7855756,2015-01-01 18:00:00,2015,1,1,0.03
7855756,2015-01-01 18:15:00,2015,1,1,0.03
7855756,2015-01-01 18:30:00,2015,1,1,0.03
7855756,2015-01-01 18:45:00,2015,1,1,0.03
7855756,2015-01-01 19:00:00,2015,1,1,0.03
7855756,2015-01-01 19:15:00,2015,1,1,2.19
7855756,2015-01-01 19:30:00,2015,1,1,2.11
7855756,2015-01-01 19:45:00,2015,1,1,0.64
7855756,2015-01-01 20:00:00,2015,1,1,0.03
7855756,2015-01-01 20:15:00,2015,1,1,0.46
7855756,2015-01-01 20:30:00,2015,1,1,0.03
7855756,2015-01-01 20:45:00,2015,1,1,1.22
7855756,2015-01-01 21:00:00,2015,1,1,1.48
7855756,2015-01-01 21:15:00,2015,1,1,0.42
7855756,2015-01-01 21:30:00,2015,1,1,0.03
7855756,2015-01-01 21:45:00,2015,1,1,0.51
7855756,2015-01-01 22:00:00,2015,1,1,0.03
