"uid","city","homeType","latitude","longitude","garageSpaces","hasSpa","yearBuilt","numOfPatioAndPorchFeatures","lotSizeSqFt","avgSchoolRating","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","priceRange"
1748,"austin","Single Family",30.3800888061523,-97.8006210327148,0,FALSE,1988,0,102366,7,17,4,4,"650000+"
13380,"austin","Single Family",30.1994857788086,-97.8599472045898,0,FALSE,1997,0,6534,6.66666666666667,16,3,4,"350000-450000"
4115,"austin","Single Family",30.2273979187012,-97.6960830688477,0,FALSE,1952,0,5619,3.33333333333333,11,1,2,"0-250000"
6926,"austin","Single Family",30.2054691314697,-97.792350769043,4,FALSE,1976,0,6416,4,14,2,4,"0-250000"
14480,"austin","Single Family",30.3451061248779,-97.7674255371094,2,FALSE,1984,0,10759,7,16,3,5,"650000+"
13448,"austin","Single Family",30.2181625366211,-97.7942504882812,0,FALSE,1964,0,9452,4.66666666666667,14,2,3,"450000-650000"
1996,"austin","Single Family",30.2839813232422,-97.8857803344727,0,FALSE,2015,0,45302.4,5.66666666666667,16,4,5,"650000+"
11353,"austin","Multiple Occupancy",30.3273963928223,-97.6939010620117,1,FALSE,1967,0,8886,3.33333333333333,15,4,6,"0-250000"
4643,"austin","Single Family",30.2099151611328,-97.8452758789062,2,FALSE,1983,0,7535,4.66666666666667,14,3,3,"250000-350000"
3118,"austin","Single Family",30.381290435791,-97.6676254272461,0,FALSE,1972,0,13068,5,15,2,4,"250000-350000"
12676,"austin","Single Family",30.2103004455566,-97.8505096435547,2,FALSE,1986,0,5837,4.66666666666667,14,3,3,"350000-450000"
11582,"austin","Single Family",30.3108615875244,-97.6858596801758,1,FALSE,1964,1,9931,3,14,2,4,"450000-650000"
12250,"austin","Single Family",30.224271774292,-97.8637008666992,0,FALSE,1988,0,6534,6,17,3,3,"350000-450000"
2826,"austin","Single Family",30.3944530487061,-97.7042388916016,1,FALSE,1983,0,4094,4,13,2,2,"250000-350000"
9939,"austin","Single Family",30.2899322509766,-97.6746063232422,2,FALSE,1971,0,8712,3,15,2,4,"450000-650000"
6849,"austin","Single Family",30.1956272125244,-97.7901992797852,2,FALSE,1973,1,6556,3.33333333333333,13,2,3,"250000-350000"
8048,"austin","Single Family",30.511417388916,-97.7477111816406,0,TRUE,2004,0,8319,7.66666666666667,16,2,3,"350000-450000"
2776,"austin","Single Family",30.3963584899902,-97.7021026611328,2,FALSE,1983,0,4160,5.33333333333333,13,2,3,"0-250000"
2644,"austin","Single Family",30.3223400115967,-97.8605804443359,0,FALSE,2013,2,57499.2,8,14,7,5,"650000+"
13490,"austin","Single Family",30.2022304534912,-97.8532638549805,2,FALSE,2000,2,5793,6.66666666666667,16,2,3,"350000-450000"
13390,"austin","Single Family",30.2246437072754,-97.7861328125,2,FALSE,1958,0,12196.8,4,12,2,3,"350000-450000"
14431,"austin","Single Family",30.3040561676025,-97.7285003662109,2,FALSE,1925,0,13068,7.33333333333333,15,4,4,"650000+"
13126,"austin","Single Family",30.2849388122559,-97.7748184204102,3,FALSE,1947,4,5445,7,16,2,2,"650000+"
3082,"austin","Single Family",30.3670101165771,-97.7676391601562,0,FALSE,1969,0,9757,7,16,2,3,"450000-650000"
9307,"austin","Single Family",30.2463645935059,-97.7459487915039,0,FALSE,1926,0,7492,4.33333333333333,14,2,3,"650000+"
8558,"austin","Single Family",30.4252662658691,-97.7743072509766,0,FALSE,1978,0,9104,8.33333333333333,16,2,3,"250000-350000"
6527,"austin","Single Family",30.2085285186768,-97.8396759033203,0,FALSE,1982,0,6621,4.66666666666667,14,2,3,"250000-350000"
13284,"austin","Single Family",30.1883220672607,-97.8938980102539,0,FALSE,1988,0,8058,9,18,3,4,"450000-650000"
12647,"austin","Single Family",30.2141571044922,-97.8739852905273,0,FALSE,1992,1,10193,8,17,3,4,"350000-450000"
2928,"austin","Condo",30.3519554138184,-97.7576751708984,0,FALSE,1982,0,2091,7,16,2,1,"0-250000"
13740,"austin","Single Family",30.2555274963379,-97.7809906005859,2,FALSE,2017,2,13068,6,16,4,4,"650000+"
3352,"austin","Single Family",30.3567142486572,-97.6980056762695,1,FALSE,1964,3,7448,2.66666666666667,14,1,3,"0-250000"
8912,"austin","Single Family",30.4140815734863,-97.7694091796875,2,FALSE,1982,0,13503.6,8.33333333333333,16,3,4,"450000-650000"
9306,"austin","Apartment",30.2425842285156,-97.7387008666992,2,FALSE,2018,0,11761.2,4.33333333333333,14,3,2,"650000+"
15065,"austin","MultiFamily",30.3219718933106,-97.7401580810547,0,FALSE,1965,0,9016,7,16,8,8,"650000+"
9002,"austin","Single Family",30.4589042663574,-97.6874237060547,0,FALSE,1993,0,6316,5.66666666666667,14,2.5,4,"250000-350000"
5727,"austin","Single Family",30.3597373962402,-97.8849563598633,2,FALSE,2005,3,8929,8.33333333333333,17,4,4,"450000-650000"
15044,"austin","Single Family",30.3345756530762,-97.7460556030273,2,FALSE,2015,1,11761.2,6.66666666666667,16,3,3,"650000+"
6003,"austin","Single Family",30.3701248168945,-97.8978881835938,0,FALSE,1999,0,6795,8.66666666666667,17,3,4,"350000-450000"
3576,"austin","Single Family",30.3502006530762,-97.7221221923828,0,FALSE,1956,0,8190,7,16,1.5,3,"350000-450000"
3741,"austin","Single Family",30.4268074035644,-97.7765579223633,0,FALSE,1977,0,8712,9,16,2,3,"350000-450000"
14444,"austin","Single Family",30.3482704162598,-97.7777557373047,2,FALSE,1976,0,4748,7,16,3,3,"650000+"
6768,"austin","Single Family",30.1820735931396,-97.8129425048828,2,FALSE,2004,0,3702,3.33333333333333,14,3,4,"250000-350000"
5958,"austin","Single Family",30.3754634857178,-97.8914489746094,2,FALSE,1998,2,10863,8.33333333333333,17,3.5,3,"450000-650000"
11277,"austin","Single Family",30.3033180236816,-97.7178192138672,2,FALSE,1942,0,6403,7.33333333333333,15,1,2,"450000-650000"
6363,"austin","Single Family",30.2123031616211,-97.8396224975586,0,FALSE,1981,1,8668,4.66666666666667,14,2,3,"250000-350000"
13717,"austin","Single Family",30.244291305542,-97.7758102416992,2,FALSE,1963,2,7405,6.66666666666667,16,1,3,"450000-650000"
1925,"austin","Single Family",30.3276805877686,-97.5784378051758,3,FALSE,2020,2,7405,4.66666666666667,11,3,3,"350000-450000"
10860,"austin","Single Family",30.3631916046142,-97.6443634033203,2,FALSE,2008,2,8232,4.33333333333333,12,2,3,"250000-350000"
14748,"austin","Single Family",30.2942409515381,-97.7406997680664,1,FALSE,1965,1,4965,7.33333333333333,15,5,7,"650000+"
8151,"austin","Single Family",30.5029888153076,-97.7453384399414,0,FALSE,1987,0,6969,7.66666666666667,16,3,4,"350000-450000"
1005,"austin","Single Family",30.2399291992188,-97.5887451171875,2,FALSE,2002,1,5314,3,13,2,3,"0-250000"
15132,"austin","Single Family",30.3309059143066,-97.736442565918,0,FALSE,1951,0,8450,7,16,2,3,"450000-650000"
10145,"austin","Single Family",30.263843536377,-97.7189178466797,1,FALSE,2018,1,5880,5,11,4,3,"350000-450000"
14691,"austin","Apartment",30.3106803894043,-97.751953125,6,FALSE,1939,0,6490,6,16,2,2,"450000-650000"
6334,"austin","Single Family",30.2187633514404,-97.8695907592773,2,FALSE,1993,0,8973,8,17,3,3,"350000-450000"
10457,"austin","Single Family",30.1918087005615,-97.7840042114258,2,FALSE,1977,0,7840,4,14,2,3,"250000-350000"
3006,"austin","Single Family",30.3748092651367,-97.7704315185547,9,TRUE,1990,0,39639.6,7,16,4,4,"650000+"
10386,"austin","Single Family",30.1968173980713,-97.7340393066406,1,FALSE,1984,0,5619,4.33333333333333,14,1,2,"0-250000"
6101,"austin","Single Family",30.2759456634521,-97.8195571899414,0,FALSE,1998,0,11761.2,9.5,14,3,4,"650000+"
599,"austin","Single Family",30.1762561798096,-97.6958084106445,0,FALSE,2015,0,6621,3.66666666666667,12,2,3,"250000-350000"
14863,"austin","Single Family",30.3449096679688,-97.7492218017578,2,FALSE,2018,0,8712,6.66666666666667,16,3,4,"250000-350000"
2734,"austin","Single Family",30.4282093048096,-97.7917556762695,2,FALSE,1989,0,9600,9,16,3,4,"450000-650000"
3634,"austin","Single Family",30.3584804534912,-97.7233581542969,6,FALSE,1966,0,9000,4,14,2,3,"450000-650000"
8483,"austin","Single Family",30.4128913879394,-97.7767333984375,0,TRUE,1999,0,17859.6,9,16,3,3,"650000+"
13667,"austin","Single Family",30.2457313537598,-97.7749710083008,0,FALSE,1963,0,6935,6.66666666666667,16,3,3,"650000+"
9591,"austin","Single Family",30.2797775268555,-97.7067413330078,0,FALSE,2000,0,6272,6.66666666666667,15,2,3,"450000-650000"
8498,"austin","Single Family",30.4270153045654,-97.7224655151367,0,FALSE,1983,0,7535,6.66666666666667,15,2,3,"250000-350000"
14935,"austin","Single Family",30.3434047698975,-97.7294006347656,0,FALSE,1951,0,9147,7,16,4,4,"650000+"
2626,"austin","Single Family",30.4338321685791,-97.8131790161133,2,FALSE,1989,3,33541.2,8.66666666666667,16,4,4,"650000+"
11004,"austin","Single Family",30.3596248626709,-97.6156845092773,2,FALSE,2009,0,8276,5,11,3,3,"0-250000"
6224,"austin","Single Family",30.2651634216309,-97.8075332641602,0,FALSE,2012,0,9975,9,14,6,5,"650000+"
9553,"austin","Single Family",30.2864475250244,-97.7146606445312,4,TRUE,1957,1,3868,6.66666666666667,15,2,2,"450000-650000"
14962,"austin","Single Family",30.3369541168213,-97.7360229492188,0,FALSE,2020,1,8189,7,16,3,4,"650000+"
10873,"austin","Single Family",30.3722362518311,-97.6520767211914,4,FALSE,2007,0,7230,4.33333333333333,12,4,4,"250000-350000"
8114,"austin","Single Family",30.5104560852051,-97.7526245117188,3,FALSE,2007,0,10018,7.66666666666667,16,3,3,"450000-650000"
2554,"austin","Single Family",30.4284648895264,-97.8030853271484,0,FALSE,1977,0,16552.8,8.66666666666667,16,3,4,"450000-650000"
6478,"austin","Single Family",30.2216835021973,-97.7917785644531,0,FALSE,1961,0,7959,4,12,1,3,"250000-350000"
2255,"austin","Single Family",30.1504020690918,-97.740234375,0,FALSE,2006,0,6185,5.33333333333333,15,3,3,"250000-350000"
6460,"austin","Single Family",30.2207088470459,-97.7902374267578,1,FALSE,1960,2,7840,4,12,2,3,"350000-450000"
6358,"austin","Single Family",30.2124481201172,-97.8233337402344,2,FALSE,1981,1,7710,4.66666666666667,14,3,3,"250000-350000"
1014,"austin","Single Family",30.4936828613281,-97.7975769042969,2,FALSE,2011,1,7535,8.33333333333333,16,3,4,"350000-450000"
8913,"austin","Single Family",30.4248943328857,-97.7199020385742,2,FALSE,1983,1,21780,6.66666666666667,15,2,3,"450000-650000"
9349,"austin","Single Family",30.252872467041,-97.7283477783203,2,FALSE,1928,2,6969,4,11,2,2,"450000-650000"
1931,"austin","Single Family",30.2372760772705,-97.8829116821289,6,TRUE,1983,3,13068,6.66666666666667,17,2,3,"350000-450000"
3254,"austin","Single Family",30.3977680206299,-97.6908569335938,0,FALSE,1985,0,4486,4,13,2,3,"250000-350000"
10536,"austin","Townhouse",30.2326240539551,-97.7613754272461,2,FALSE,2019,2,12196.8,3.66666666666667,12,3,3,"650000+"
12279,"austin","Single Family",30.1567096710205,-97.8012924194336,0,FALSE,2007,1,10018,3.33333333333333,14,4,5,"450000-650000"
