"index","value"
1984 Jan,423
1984 Feb,458
1984 Mar,607
1984 Apr,564
1984 May,536
1984 Jun,536
1984 Jul,804
1984 Aug,540
1984 Sep,488
1984 Oct,627
1984 Nov,672
1984 Dec,1447
1985 Jan,514
1985 Feb,518
1985 Mar,699
1985 Apr,654
1985 May,612
1985 Jun,612
1985 Jul,884
1985 Aug,605
1985 Sep,547
1985 Oct,705
1985 Nov,698
1985 Dec,1555
1986 Jan,561
1986 Feb,564
1986 Mar,773
1986 Apr,717
1986 May,665
1986 Jun,667
1986 Jul,994
1986 Aug,661
1986 Sep,616
1986 Oct,786
1986 Nov,806
1986 Dec,1754
1987 Jan,622
1987 Feb,636
1987 Mar,874
1987 Apr,831
1987 May,769
1987 Jun,779
1987 Jul,1142
1987 Aug,764
1987 Sep,718
1987 Oct,930
1987 Nov,943
1987 Dec,2039
1988 Jan,736
1988 Feb,752
1988 Mar,1057
1988 Apr,947
1988 May,868
1988 Jun,931
1988 Jul,1311
1988 Aug,896
1988 Sep,867
1988 Oct,1073
1988 Nov,1069
1988 Dec,2333
