STATION_ID,STATION_NAME,STATION_GRP_SEQ,STATION_GRP_NAME,STATION_POST_NO,STATION_ADDR1,STATION_ADDR2,STATION_LATITUDE,STATION_LONGITUDE,STATION_USE_YN,REG_DTTM,거치대개수
ST-10,108. 서교동 사거리,12,마포구,4034,서울특별시 마포구 양화로 93,427,37.55274582,126.9186173,Y,2015-09-06 23:51,10
ST-100,503. 더샵스타시티 C동 앞,15,광진구,5065,서울특별시 광진구 아차산로 262,더샵스타시티 C동 앞,37.53666687,127.0735931,C,2015-10-07 11:47,15
ST-1000,729. 서부식자재마트 건너편,18,양천구,8101,서울특별시 양천구 신정동 236 ,서부식자재마트 건너편,37.51037979,126.8667984,Y,2017-11-01 16:00,10
ST-1001,730. 서서울호수공원,18,양천구,7916,서울특별시 양천구 남부순환로4길20 ,서서울호수공원,0,0,N,2017-11-01 16:00,0
ST-1002,731. 서울시 도로환경관리센터,18,양천구,7990,서울특별시 양천구 목동동로 316-6,서울시 도로환경관리센터,37.5298996,126.8765411,Y,2017-11-01 16:00,10
ST-1003,732. 신월동 이마트,18,양천구,7902,서울특별시 양천구 화곡로 59,신월동 이마트,37.53955078,126.8283005,Y,2017-11-01 16:00,10
ST-1004,733. 신정이펜하우스314동,18,양천구,8050,서울특별시 양천구 신정이펜1로50 ,신정이펜하우스314동,37.51409912,126.8310013,Y,2017-11-01 16:00,10
ST-1005,734. 신트리공원 입구,18,양천구,8091,서울특별시 양천구 신정동 310-8 ,신트리공원 입구,37.51395035,126.8560562,Y,2017-11-01 16:00,10
ST-1006,735. 영도초등학교,18,양천구,7982,서울특별시 양천구 목동중앙로 70 ,영도초등학교,37.53643036,126.871521,Y,2017-11-01 16:00,10
ST-1007,736. 오솔길공원,18,양천구,8040,서울특별시 양천구 남부순환로70길11-9,오솔길공원,37.52219009,126.8367004,Y,2017-11-01 16:00,10
ST-1008,737. 장수공원,18,양천구,8028,서울특별시 양천구 신월로 894 ,장수공원,37.52256012,126.8494797,Y,2017-11-01 16:00,10
ST-1009,738. 신월 청소년 문화센터,18,양천구,7906,서울특별시 양천구 신월동 263,신월 청소년 문화센터,0,0,N,2017-11-01 16:00,0
ST-101,504. 신자초교입구교차로,15,광진구,5098,서울특별시 광진구 뚝섬로 596,신자초교입구교차로,37.53297043,127.0759354,Y,2015-10-07 11:48,9
ST-1010,739. 신월사거리,18,양천구,7906,서울특별시 양천구 신월동 263,신월사거리,37.53620148,126.8277969,Y,2017-11-01 16:00,15
ST-1011,740. 으뜸공원,18,양천구,7906,서울특별시 양천구 가로공원로 133,으뜸공원,37.53636932,126.8317108,Y,2017-11-01 16:00,10
ST-1012,741. 화곡로 입구 교차로,18,양천구,7908,서울특별시 양천구 신월동 258,화곡로 입구 교차로,37.53952026,126.8254013,Y,2017-11-01 16:00,10
ST-1013,742. 등촌역 5번 출구 뒤,18,양천구,7946,서울특별시 양천구 등촌로 236,등촌역 5번 출구 뒤,37.55073166,126.8645783,Y,2017-11-01 16:00,10
ST-1014,743. 현대6차아파트 101동 옆,18,양천구,8110,서울특별시 양천구 신정동 735-5,현대6차아파트 101동 옆,37.50889969,126.8426819,Y,2017-11-01 16:00,10
ST-1015,744. 신목동역 2번 출구,18,양천구,7978,서울특별시 양천구 목동중앙로 212 앞,신목동역 2번 출구,37.54384232,126.8825455,Y,2017-11-01 16:00,10
ST-1016,745. 강서초등학교,18,양천구,7930,서울특별시 양천구 오목로 31 부근,강서초등학교,37.52228165,126.8396988,Y,2017-11-01 16:00,10
ST-1017,746. 목동2단지 상가,18,양천구,7981,서울특별시  양천구 목동 902-5 ,목동2단지 상가,37.53650284,126.8777466,Y,2017-11-01 16:00,10
ST-1018,747. 목동3단지 상가,18,양천구,7982,서울특별시 양천구 목동 903-6,목동3단지 상가,37.53458023,126.8756485,Y,2017-11-01 16:00,10
