traffic,temperature,precipitation,wind
95566,23.7,96.5,3.7
79372,21.9,83.5,2.3
101087,20.9,83,8
92229,22.6,59.5,2.9
102633,11.8,64,5
91632,18,55.5,5.3
101918,22.3,45.6,6.1
104690,25.2,42,4.5
111624,16.9,36.5,3.2
105939,23.3,34.5,5.5
101678,14.2,32,2.9
110194,21.6,29,3.7
99516,12.4,27,4.8
104957,23.3,26.5,4.3
105536,4.6,25,3.7
107002,16.6,22,3.9
101737,22.7,19.5,2.1
106602,13.4,18.5,5.1
112728,19.4,18,2.3
120222,21.7,16.5,2.7
109027,23.7,16.5,1.6
102017,15.5,15.5,2.9
109957,24.4,14.5,5.1
101755,20.8,14.1,1.8
100192,18.1,12.5,3.1
102564,15.1,12,5.2
92407,9.8,11.5,3.5
115148,12.2,11,5.4
107917,2.6,10.9,3.3
99974,7.6,10.5,3.5
112392,25.3,9.5,3.7
102318,11.5,9.5,3.2
100782,9,9,4.1
109840,29.5,7.5,3.6
100141,24.4,7.5,4.2
111676,12,7,4.1
118024,5.8,6.5,5.7
115397,16.3,6.5,2.7
110020,12.2,5,5
106337,6.7,5,5.6
102620,4.6,4,4.5
112786,4.2,3.7,5
100413,5.5,3.5,3.5
101136,0.2,3.3,5.1
106098,3.9,3,3.6
111082,12.1,3,2.8
109733,26.8,3,3.9
101431,29.4,3,2.8
112484,21.4,1,4.4
105435,22.3,1,4.5
108695,26.6,1,3.6
111146,30.5,1,3.2
103199,31.7,1,5.8
110516,24.1,1,5
119346,12.1,1,5.6
109104,5.8,1,4.5
96987,1.3,0.9,7.1
94533,-4.2,0.5,6.1
111956,17.3,6.5,5
117205,24.7,6.5,3.2
109184,30.5,6.5,4.4
98183,20.8,6.5,5.3
107872,8.3,5.5,5.9
108258,15.1,5,8.8
111030,20.2,5,4.3
102111,30.6,5,3.7
109878,26.6,5,7.1
112149,19,5,2.9
98335,-5.3,2.9,3.8
101903,30,2,4.9
106221,28.8,2,4.2
104503,23.2,2,3.8
108022,22.2,2,3.7
112863,12.8,2,2.8
103594,-2.2,1.3,5.8
102727,8,1,4.2
102752,2.1,1,3.3
108362,11.2,1,5.3
99625,-7.3,0.5,5.7
97291,-0.2,0.5,6.9
106041,6.4,0.5,3.2
100323,8.2,0.5,2.9
102516,15.8,0.5,3.9
111457,23.7,0.5,3.5
101120,21.3,0.5,2.9
105361,25.3,0.5,4.3
118327,22,0.5,4.3
119988,23.5,0.5,2.6
99625,-7.3,0.5,5.7
97291,-0.2,0.5,6.9
106041,6.4,0.5,3.2
100323,8.2,0.5,2.9
102516,15.8,0.5,3.9
111457,23.7,0.5,3.5
101120,21.3,0.5,2.9
105361,25.3,0.5,3
118327,22,0.5,4.3
119988,23.5,0.5,2.6
95063,-4.4,0.4,1.7
106280,1.3,0.4,5.2
92978,-7.5,0.3,6.1
95974,0,0.3,1.7
103447,1.6,0.3,4.3
100428,4.7,0.2,3.3
114425,4.2,0.2,6
117563,23.3,0.2,2.4
111811,22.1,0.2,2.9
110651,6.5,0.2,4.2
110602,17.8,0.1,4.4
106762,27.4,0.1,2.6
118063,25.6,0.1,3.7
18463,22.3,0.1,3.8
103310,-10.2,0,3.6
100952,3.5,0,2.2
104304,2.1,0,3.8
100393,-2.6,0,3.4
87207,-6.1,0,5.1
100107,-5.8,0,5.2
106017,7.9,0,3.9
102275,20.4,0,4
112541,23.2,0,3.4
110937,20.2,0,4.4
115283,21.3,0.4,4.7
100409,22,0,5.1
113330,27.9,0,4.2
110973,29.1,0,5.1
93569,19.4,0,4.3
108514,15.4,0,6.1
105978,15.3,0,2.7
111547,7.2,0,5.3
110931,6.1,0,3.5
111222,7.4,0,4.1
118029,11.9,0,3.3
110717,8.1,0,3.7
110379,3.5,0,3.3
109185,2.4,0,5.7
93756,-1.3,0,3.8
100004,-1.8,0,4.9
99026,-4.7,0,3.5
102140,-4.7,0,3.5
107106,-3,0,3.6
98442,-2.8,0,3.1
87841,-0.8,0,2.5
95830,-11.1,0,4.9
89682,0.6,0,2.8
102146,4.5,0,3.7
112171,1,0,3.7
104971,2.2,0,3.6
94826,0.4,0,3.2
97853,-11.7,0,5.4
99164,-14.2,0,7.2
99013,-14,0,4.8
106060,-14.8,0,4.6
97251,-9.9,0,3.4
88489,-6.3,0,5.6
100172,-8.5,0,6.2
102009,-4,0,3.9
108140,-2.4,0,3.6
85963,-9.5,0,5.6
17469,-9.4,0,5.6
100288,-10.1,0,4.9
107632,4.2,0,1.8
106669,-0.7,0,3.3
105085,4.5,0,3.7
115529,4.5,0,4.2
116181,7.1,0,3.1
107175,6.6,0,3.8
116458,14.8,0,3.8
112801,14,0,4.5
105545,15.6,0,3.5
110043,18.4,0,4.5
109764,7.9,0,2.9
107823,12.6,0,6.1
116439,19.2,0,3.6
119023,14.1,0,5.9
104655,18.3,0,4.8
123149,19.2,0,3.7
115315,17.5,0,2.7
110158,15.7,0,3.6
118653,27.3,0,3.4
103918,28.3,0,3.7
107235,28.7,0,3.6
114279,29.5,0,3.3
114449,22.8,0,3.2
116954,23.5,0,2.4
112595,22,0,3.4
116994,17.6,0,4.4
135868,17.8,0,2.2
99716,-5.4,0,3.4
106189,24,,4.2
112764,22.6,,4.4
115668,23.7,,4
102492,23,,4
111698,22.2,,4.1
119382,21.9,,3.7
110331,31.1,,4.6
108121,30.5,,3.7
109121,31,,4.6
111154,31,,3.3
115053,31.7,,4
112075,14.5,,3
113185,12.4,,3.6
112118,12.7,,2.7
120672,13.1,,3.8
120080,13.4,,3
110498,13.4,,2.9
